stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
F03055,"Hubay Jenő tér",47.562012,19.115496,,,2
F03056,"Beller Imre utca",47.56166,19.117396,,,2
F03057,"Beller Imre utca",47.561119,19.119003,,,2
F03058,"Rákos út",47.558699,19.120701,,,2
F03059,"Szentmihályi út",47.559166,19.12106,,,2
F03060,"Szentmihályi út",47.559318,19.122057,,,2
F03061,"Fazekas sor",47.557178,19.125901,,,2
F03062,"Bezerédj Pál utca",47.556833,19.126292,,,2
F03063,"Fazekas sor",47.557322,19.125662,,,2
F03064,"Pöltenberg Ernő utca",47.553852,19.131656,,,2
F03065,"Aulich Lajos utca",47.553369,19.13222,,,2
F03066,"Szerencs utca",47.553307,19.111792,,,2
F03067,"Szerencs utca",47.552887,19.111744,,,2
F03068,"Eötvös utca 74.",47.555807,19.112951,,,2
F03069,"Arany János utca",47.555672,19.112765,,,2
F03070,"Rákos úti szakrendelő",47.554637,19.118988,,,2
F03071,"Rákos úti szakrendelő",47.553402,19.118448,,,2
F03072,"Rákos úti szakrendelő",47.553888,19.118808,,,2
F03073,"Rákos úti szakrendelő",47.554112,19.119233,,,2
F03074,"Istvántelek vasútállomás",47.550944,19.107444,,,2
F03075,"Istvántelek vasútállomás",47.550998,19.107577,,,2
F03076,"Dugonics utca",47.550825,19.110726,,,2
F03077,"Eötvös utca",47.550582,19.110367,,,2
F03078,"Pázmány Péter utca",47.548929,19.106884,,,2
F03079,"Wysocki utca",47.548542,19.107322,,,2
F03080,"Patyolat utca",47.547093,19.109712,,,2
F03081,"Patyolat utca",47.547123,19.109466,,,2
F03082,"Rákos út",47.545373,19.112327,,,2
F03083,"Széchenyi út",47.545278,19.11228,,,2
F03084,"Wysocki utca",47.546175,19.111079,,,2
F03085,"Rákos út",47.545662,19.11169,,,2
F03086,"Széchenyi út",47.544239,19.114916,,,2
F03087,"Széchenyi út",47.54378,19.114955,,,2
F03088,"Rákos út",47.541958,19.107461,,,2
F03089,"Rekettye utca",47.541637,19.107746,,,2
F03090,"Perczel Mór utca",47.538816,19.112624,,,2
F03091,"Perczel Mór utca",47.539233,19.111741,,,2
F03092,"Rekettye utca",47.537226,19.115073,,,2
F03094,"Pestújhelyi tér",47.534063,19.12434,,,2
F03095,"Pestújhelyi tér",47.534293,19.124758,,,2
F03096,"Sztárai Mihály tér",47.540059,19.128771,,,2
F03097,"Sztárai Mihály tér",47.539634,19.128578,,,2
F03098,"Sztárai Mihály tér",47.539949,19.12834,,,2
F03099,"Sztárai Mihály tér",47.539822,19.128991,,,2
F03100,"Széchenyi út",47.540143,19.119746,,,2
F03101,"Kolozsvár utca",47.539967,19.11934,,,2
F03102,"Rákospalota, MÁV-telep",47.541548,19.121587,,,2
F03103,"Rákospalota, MÁV-telep",47.541357,19.120903,,,2
F03104,"Vasutastelep utca",47.542654,19.12224,,,2
F03105,"Vasutastelep utca",47.542463,19.121157,,,2
F03106,"Bánkút utca",47.546419,19.127506,,,2
F03107,"Bánkút utca",47.546338,19.127426,,,2
F03108,"Szerencs utca",47.546878,19.12736,,,2
F03109,"Szerencs utca",47.546411,19.126589,,,2
F03110,"Szerencs utca",47.546824,19.127108,,,2
F03111,"Szerencs utca",47.546537,19.126868,,,2
F03112,"Szerencs utca",47.549694,19.12223,,,2
F03113,"Szerencs utca",47.549649,19.122575,,,2
F03114,"Damjanich János utca",47.549974,19.121048,,,2
F03115,"Klapka György utca",47.550721,19.119973,,,2
F03116,"Szerencs utca",47.551666,19.117822,,,2
F03117,"Klapka György utca",47.552158,19.122379,,,2
F03118,"Klapka György utca",47.551817,19.122406,,,2
F03119,"Kozák tér",47.550145,19.12524,,,2
F03120,"Kozák tér",47.550252,19.125745,,,2
F03121,"Szerencs utca",47.548833,19.123378,,,2
F03122,"Bercsényi Miklós utca",47.549021,19.123776,,,2
F03123,"Bercsényi Miklós utca",47.548455,19.123802,,,2
F03124,"Bercsényi Miklós utca",47.54823,19.123988,,,2
F03125,"Bánkút utca",47.549445,19.131622,,,2
F03126,"Páskomliget utca",47.548584,19.132451,,,2
F03127,"Rákospalotai köztemető",47.552016,19.133739,,,2
F03129,"Rákospalotai köztemető",47.551827,19.133686,,,2
F03130,"Szerencs utca",47.543796,19.131441,,,2
F03131,"Pestújhelyi út",47.54406,19.131315,,,2
F03133,"Templom tér",47.5418,19.130069,,,2
F03134,"Thököly út",47.538281,19.13385,,,2
F03135,"Thököly út",47.538191,19.133849,,,2
F03136,"Apolló utca",47.537275,19.135236,,,2
F03137,"Apolló utca",47.536961,19.134651,,,2
F03138,"Madách utca",47.538776,19.136447,,,2
F03139,"Madách utca",47.539171,19.137763,,,2
F03140,"Nyírpalota út",47.537639,19.137368,,,2
F03141,"Késmárk utca",47.537226,19.136903,,,2
F03142,"Késmárk utca",47.529885,19.148963,,,2
F03143,"Késmárk utca 11.",47.530129,19.148166,,,2
F03144,"Újpalota, Szentmihályi út",47.54199,19.151443,,,2
F03145,"Újpalota, Szentmihályi út",47.541288,19.151681,,,2
F03146,"Újpalota, Szentmihályi út",47.541688,19.151104,,,2
F03147,"Újpalota, Szentmihályi út",47.541489,19.151435,,,2
F03148,"Erdőkerülő utca",47.541148,19.151023,,,2
F03149,"Újpalota, Erdőkerülő utca",47.539525,19.145401,,,2
F03150,"Erdőkerülő utca",47.53963,19.14501,,,2
F03151,"Fő tér",47.540897,19.139134,,,2
F03152,"Fő tér",47.541517,19.140131,,,2
F03153,"Fő tér",47.54163,19.141613,,,2
F03154,"Fő tér",47.542314,19.141043,,,2
F03155,"Fő tér",47.541957,19.141261,,,2
F03156,"Fő tér",47.542272,19.14081,,,2
F03157,"Vásárcsarnok",47.545969,19.140537,,,2
F03158,"Vásárcsarnok",47.545175,19.139892,,,2
F03159,"Vásárcsarnok",47.545527,19.138312,,,2
F03160,"Vásárcsarnok",47.545203,19.138218,,,2
F03161,"Vásárcsarnok",47.544792,19.13914,,,2
F03162,"Vásárcsarnok",47.545017,19.138875,,,2
F03163,"Újpalota, Nyírpalota út",47.546948,19.142133,,,2
F03164,"Újpalota, Nyírpalota út",47.546741,19.142492,,,2
F03165,"Újpalota, Nyírpalota út",47.547353,19.141456,,,2
F03166,"Nyírpalota út",47.5479,19.140176,,,2
F03167,"Újpalota, Sárfű utca",47.549908,19.13812,,,2
F03168,"Opál utca",47.542213,19.117185,,,2
F03169,"Opál utca",47.542088,19.117198,,,2
F03170,"Árokhát út",47.577048,19.124428,,,2
F03171,"Árokhát út",47.577336,19.124867,,,2
F03172,"Karatna tér",47.543001,19.109123,,,2
F03173,"Karatna tér",47.543046,19.108711,,,2
F03174,"Karatna tér",47.543031,19.108545,,,2
F03175,"Rákospalota, Székely Elek út",47.579601,19.126798,,,2
F03176,"Székely Elek út",47.579709,19.127064,,,2
F03177,"Kolozsvár utca",47.541985,19.123096,,,2
F03179,"Rädda Barnen utca",47.557138,19.113524,,,2
F03180,"Rädda Barnen utca",47.5573,19.113471,,,2
F03181,"Wesselényi utca",47.549997,19.116976,,,2
F03182,"Wesselényi utca",47.549161,19.116749,,,2
F03183,"Beller Imre utca",47.55496,19.115328,,,2
F03184,"Beller Imre utca",47.554906,19.115939,,,2
F03185,"Emlék tér",47.536982,19.126595,,,2
F03186,"Emlék tér",47.536829,19.126608,,,2
F03187,"Ady Endre utca",47.535421,19.120297,,,2
F03188,"Ady Endre utca",47.535294,19.120908,,,2
F03189,"Wesselényi utca",47.544074,19.123676,,,2
F03190,"Wesselényi utca",47.544128,19.123584,,,2
F03191,"Sárfű utca",47.547818,19.134097,,,2
F03192,"Sárfű utca",47.548061,19.133593,,,2
F03193,"Sárfű utca",47.547346,19.135193,,,2
F03194,"Sárfű utca",47.546575,19.135849,,,2
F03195,"Molnár Viktor utca",47.533519,19.130501,,,2
F03196,"Molnár Viktor utca",47.533546,19.130329,,,2
F03197,"Késmárk utca 20.",47.531552,19.145593,,,2
F03198,"Késmárk utca 9.",47.532273,19.14412,,,2
F03199,"Fázis utca",47.534138,19.141055,,,2
F03200,"Fázis utca",47.533741,19.141546,,,2
F03201,"Erdőkerülő utca 28.",47.539999,19.147753,,,2
F03202,"Erdőkerülő utca 27.",47.540161,19.148564,,,2
F03203,"Szent Korona útja",47.54774,19.11506,,,2
F03204,"Szent Korona útja",47.547201,19.114567,,,2
F03205,"Tóth István utca",47.538277,19.117014,,,2
F03206,"Tóth István utca",47.537926,19.116641,,,2
F03209,"Zsókavár utca",47.540999,19.143285,,,2
